Sweep	Chain_1	Chain_2	Chain_3	
1	-134.262486871	-134.262486871	-134.262486871	
2	-134.262486871	-134.262486871	-134.262486871	
3	-118.9024610732	-118.9024610732	-118.9024610732	
4	-118.9024610732	-118.9024610732	-118.9024610732	
5	-118.7162059686	-118.7162059686	-118.7162059686	
6	-115.0925911067	-115.0925911067	-115.0925911067	
7	-115.0717162833	-115.0717162833	-115.0717162833	
8	-115.0717162833	-115.0717162833	-115.0717162833	
9	-115.0717162833	-115.0717162833	-115.0717162833	
10	-109.3572160795	-109.3572160795	-109.3572160795	
11	-108.0633553918	-108.0633553918	-108.0633553918	
12	-108.0633553918	-108.0633553918	-108.0633553918	
13	-104.531576671	-104.531576671	-104.531576671	
14	-103.4393536313	-103.4393536313	-103.4393536313	
15	-100.1931409118	-100.1931409118	-100.1931409118	
16	-99.29254173775	-99.29254173775	-130.0662061805	
17	-99.29254173775	-99.29254173775	-130.0662061805	
18	-99.29254173775	-99.29254173775	-112.8555650761	
19	-96.73357544019	-96.73357544019	-108.8159923469	
20	-93.81385799773	-93.81385799773	-104.1784803799	
21	-93.59909023442	-93.59909023442	-105.7053098394	
22	-91.61038196512	-91.61038196512	-102.4617573505	
23	-91.74262580575	-100.524298287	-91.74262580575	
24	-91.18997016487	-91.18997016487	-91.18997016487	
25	-88.90872347317	-88.90872347317	-146.0014207039	
26	-88.31659438293	-88.31659438293	-109.3984951098	
27	-88.12495204785	-88.12495204785	-112.2949165591	
28	-88.12495204785	-102.4217545775	-104.8027238802	
29	-88.12495204785	-102.4217545775	-104.8027238802	
30	-89.14283259394	-102.2622125093	-198.9117866588	
31	-94.12470846902	-96.55105910178	-198.9117866588	
32	-96.62453539108	-94.24655791039	-198.2160066702	
33	-95.90464302737	-97.82878532049	-193.2051810727	
34	-95.90464302737	-98.38145725262	-221.9270465539	
35	-95.90464302737	-98.38145725262	-221.9270465539	
36	-91.72390872142	-103.7506225084	-221.6465471701	
37	-99.83659596858	-125.3867160145	-221.6465471701	
38	-98.12704145509	-125.7217393876	-223.6106266713	
39	-106.4902345625	-117.262307309	-222.5697320723	
40	-96.12236403249	-126.717898867	-214.8971629818	
41	-96.34788278542	-126.6047419658	-214.7282489139	
42	-90.55455176174	-113.192024016	-222.2876712135	
43	-90.55455176174	-113.192024016	-222.2876712135	
44	-95.35095202411	-120.7764615364	-211.2894215504	
45	-95.35095202411	-120.7764615364	-211.2894215504	
46	-99.24077681987	-157.7599085728	-221.9073661781	
47	-91.0903887468	-158.1336850807	-214.5405461535	
48	-91.0903887468	-158.1336850807	-214.5405461535	
49	-98.06179178002	-190.2801578032	-211.0522997014	
50	-98.06179178002	-190.2801578032	-211.0522997014	
51	-98.06179178002	-190.2801578032	-211.0522997014	
52	-91.0903887468	-209.6044147495	-221.9073661781	
53	-91.0903887468	-211.5459807984	-221.9073661781	
54	-91.0903887468	-211.5459807984	-221.9073661781	
55	-99.22792676633	-214.5405461535	-214.5405461535	
56	-89.28241235638	-216.1114381602	-224.2702660958	
57	-89.60667362004	-215.5696079167	-223.5482963888	
58	-96.09939758561	-215.5696079167	-215.5696079167	
59	-102.5919952539	-215.5696079167	-215.5696079167	
60	-103.5749273249	-214.500564968	-214.500564968	
61	-93.9067751754	-214.7649645646	-214.7649645646	
62	-93.69706594743	-214.92327451	-214.92327451	
63	-93.69706594743	-214.92327451	-214.92327451	
64	-93.69706594743	-214.92327451	-222.6111198465	
65	-94.02645507987	-214.6949534299	-222.2278866182	
66	-94.02645507987	-214.6949534299	-222.2278866182	
67	-94.02645507987	-214.6949534299	-222.2278866182	
68	-93.44279965831	-223.0205035191	-215.1946602011	
69	-96.78489298106	-215.1946602011	-215.1946602011	
70	-102.4179234132	-214.9567183501	-214.9567183501	
71	-120.0586857893	-215.1745370789	-215.1745370789	
72	-115.3588808621	-209.6863560302	-215.1745370789	
73	-115.3541712068	-209.7576001604	-215.2423780266	
74	-115.3541712068	-209.7576001604	-215.2423780266	
75	-115.3541712068	-209.7576001604	-215.2423780266	
76	-115.4456946864	-214.8468334738	-209.345626821	
77	-115.4182424519	-209.4094049594	-214.9087227589	
78	-106.9114939037	-205.0522698034	-222.5881115136	
79	-106.9284594376	-205.0188198302	-222.5608568776	
80	-106.9284594376	-205.0188198302	-222.5608568776	
81	-106.9284594376	-205.0188198302	-222.5608568776	
82	-125.5031103437	-185.9473970962	-214.8916018807	
83	-125.5031103437	-185.9473970962	-214.8916018807	
84	-125.5031103437	-185.9473970962	-214.8916018807	
85	-125.5031103437	-185.9473970962	-214.8916018807	
86	-125.4583206419	-186.1622038484	-215.2126230874	
87	-125.4583206419	-186.1622038484	-215.2126230874	
88	-121.2294738193	-223.4420425407	-215.4923875147	
89	-115.1391483274	-211.70647491	-210.6244804621	
90	-115.1391483274	-211.70647491	-210.6244804621	
91	-117.0623934961	-214.8201203322	-222.4446173457	
92	-127.6910489009	-222.4446173457	-214.8201203322	
93	-127.6910489009	-214.8201203322	-222.4446173457	
94	-125.0188060115	-214.8201203322	-222.4446173457	
95	-125.0188060115	-214.8201203322	-222.4446173457	
96	-112.0444344162	-214.8201203322	-222.4446173457	
97	-112.0444344162	-222.4446173457	-214.8201203322	
98	-118.7075142221	-214.8201203322	-214.8201203322	
99	-128.8642656887	-214.8201203322	-214.8201203322	
100	-128.8642656887	-214.8201203322	-214.8201203322	
101	-117.2129574864	-214.8201203322	-214.8201203322	
102	-117.2129574864	-214.8201203322	-214.8201203322	
103	-120.1508781094	-209.2409452271	-214.8201203322	
104	-117.3673736154	-210.0778065822	-214.8201203322	
105	-100.5408308021	-209.8472299149	-214.8201203322	
106	-100.5408308021	-209.8472299149	-214.8201203322	
107	-100.5408308021	-209.8472299149	-214.8201203322	
108	-121.0037807696	-198.6616538593	-214.8201203322	
109	-117.5690606021	-198.3333457361	-214.8201203322	
110	-102.6665849944	-209.0209867228	-214.8201203322	
111	-102.6665849944	-209.0209867228	-214.8201203322	
112	-102.6665849944	-214.8201203322	-209.0209867228	
113	-102.6665849944	-209.0209867228	-214.8201203322	
114	-103.0673133515	-214.6364919191	-208.8826670985	
115	-103.0673133515	-214.6364919191	-208.8826670985	
116	-95.40218024398	-210.8879215943	-216.8531045729	
117	-95.40218024398	-205.0772667618	-225.2154192681	
118	-95.96998486792	-204.0075807912	-223.8146124333	
119	-104.0252987259	-199.1956696416	-215.7662816547	
120	-104.0252987259	-199.1956696416	-215.7662816547	
121	-95.96998486792	-184.9975619273	-215.7662816547	
122	-114.793366806	-203.8086345611	-215.7662816547	
123	-104.6051018344	-215.7662816547	-208.0301984251	
124	-115.5265975523	-208.8599437414	-207.9673038674	
125	-104.616635297	-215.7662816547	-215.7662816547	
126	-114.9090805989	-215.7662816547	-215.7662816547	
127	-104.616635297	-195.3892399465	-203.1216925945	
128	-104.616635297	-195.3892399465	-203.1216925945	
129	-102.0334693213	-194.3998894878	-215.1717419275	
130	-102.7250540126	-193.9022408214	-214.7165822651	
131	-102.7250540126	-180.0641991561	-222.2669356796	
132	-109.7152769109	-204.4559900789	-191.2666921898	
133	-117.0836557444	-214.7165822651	-214.7165822651	
134	-99.70179067046	-210.6543962423	-213.8620858201	
135	-104.8498387894	-174.4423056571	-211.4168569669	
136	-104.8498387894	-174.4423056571	-211.4168569669	
137	-99.70179067046	-183.0251496796	-214.7165822651	
138	-99.70179067046	-158.000248316	-209.266576896	
139	-99.70179067046	-187.0820416542	-214.7165822651	
140	-105.7345389562	-173.6227613109	-214.6566830051	
141	-105.7345389562	-173.6227613109	-214.6566830051	
142	-114.2299720522	-189.4716238506	-214.6566830051	
143	-114.2299720522	-189.4716238506	-214.6566830051	
144	-114.2299720522	-189.4716238506	-214.6566830051	
145	-98.24945373767	-214.6566830051	-199.74254577	
146	-98.24945373767	-214.6566830051	-199.74254577	
147	-98.24945373767	-199.74254577	-214.6566830051	
148	-98.24945373767	-191.3746226588	-209.3207327516	
149	-122.5322423718	-204.8743864991	-214.6566830051	
150	-115.4514089451	-189.5380825426	-214.6566830051	
151	-115.4514089451	-189.5380825426	-214.6566830051	
152	-111.3617152663	-186.9097679814	-213.4598242946	
153	-100.8148518228	-214.6566830051	-215.072523171	
154	-100.8148518228	-214.6566830051	-215.072523171	
155	-100.8148518228	-215.072523171	-214.6566830051	
156	-104.266749056	-214.6566830051	-214.6566830051	
157	-106.2357343056	-201.4782037546	-214.6566830051	
158	-106.2357343056	-201.4782037546	-214.6566830051	
159	-111.3351705409	-210.6353814927	-192.6690897866	
160	-111.3351705409	-210.6353814927	-192.6690897866	
161	-111.3351705409	-210.6353814927	-192.6690897866	
162	-100.3494682874	-214.6566830051	-202.2582661861	
163	-111.081677151	-212.5886604044	-214.6566830051	
164	-111.081677151	-214.6566830051	-212.5886604044	
165	-111.081677151	-214.6566830051	-212.5886604044	
166	-113.3261813477	-214.6566830051	-214.6566830051	
167	-116.2039363971	-214.6566830051	-210.3160455791	
168	-116.2039363971	-214.6566830051	-210.3160455791	
169	-114.2161692388	-203.1281373457	-214.6566830051	
170	-119.3951941165	-201.8342265471	-214.6566830051	
171	-119.3951941165	-201.8342265471	-214.6566830051	
172	-119.3951941165	-201.8342265471	-214.6566830051	
173	-119.9028918656	-201.8989347806	-214.5080174001	
174	-126.6829849186	-208.1960957632	-203.5735499443	
175	-132.8779226978	-214.5080174001	-214.5080174001	
176	-132.8779226978	-214.5080174001	-214.5080174001	
177	-132.3341158909	-214.6291054577	-214.6291054577	
178	-124.1266400237	-204.5459836307	-201.8933956443	
179	-126.7885413125	-193.6995913918	-214.7028036907	
180	-126.7885413125	-193.6995913918	-214.7028036907	
181	-130.0811895778	-214.7028036907	-198.9838222073	
182	-124.7379319633	-196.4828226654	-209.576660601	
183	-118.8455532631	-212.9767607181	-204.0442254051	
184	-118.8455532631	-204.0442254051	-212.9767607181	
185	-107.7379163861	-199.2413756234	-210.2649055418	
186	-107.7379163861	-199.2413756234	-210.2649055418	
187	-102.5883607616	-199.640950131	-217.0128291251	
188	-102.5883607616	-199.640950131	-217.0128291251	
189	-99.18038427858	-201.5536170719	-215.6844510153	
190	-99.66785382922	-201.2537779244	-215.0331783118	
191	-96.95277068815	-210.9038039351	-209.5005350134	
192	-96.95277068815	-210.9038039351	-209.5005350134	
193	-91.03643920268	-200.7579441784	-210.4486355153	
194	-91.03643920268	-200.7579441784	-210.4486355153	
195	-97.73564668012	-201.5962582707	-215.0331783118	
196	-91.03643920268	-215.0331783118	-202.0516641831	
197	-99.00873975418	-215.0331783118	-207.6303194673	
198	-123.8017288464	-207.5384557953	-215.0331783118	
199	-136.9278954935	-208.4768953848	-208.5230984773	
200	-107.2027520323	-194.0017295176	-215.0331783118	
201	-108.1551461396	-193.619242813	-214.596356826	
202	-117.9798157494	-212.5475180903	-208.386212293	
203	-117.1241323148	-213.4643727046	-208.799163426	
204	-117.1241323148	-213.4643727046	-208.799163426	
205	-108.6799335391	-204.2019634303	-215.1268364817	
206	-104.1663252562	-210.3262368295	-215.1268364817	
207	-118.6586660849	-209.9096822679	-204.114522402	
208	-123.1461074922	-207.6732034118	-209.7814667603	
209	-108.6965743378	-197.0543721086	-215.1268364817	
210	-108.6965743378	-215.1268364817	-197.0543721086	
211	-106.1020839488	-209.289324941	-201.5638645755	
212	-107.9899523008	-208.8072414832	-201.4812584314	
213	-109.1661997755	-214.5463092186	-214.5463092186	
214	-107.9232128491	-214.9711627951	-214.9711627951	
215	-111.7023438142	-215.3043995841	-215.3043995841	
216	-111.7023438142	-215.3043995841	-215.3043995841	
217	-111.0408164467	-216.4397274507	-216.4397274507	
218	-111.9762014604	-215.0660596197	-215.0660596197	
219	-115.5204121585	-208.0136639391	-215.0660596197	
220	-116.3798751346	-215.0660596197	-209.6945837181	
221	-116.3798751346	-209.6945837181	-215.0660596197	
222	-105.7164200824	-215.0660596197	-215.0660596197	
223	-115.9516198225	-196.0615154448	-209.692206651	
224	-115.9516198225	-196.0615154448	-209.692206651	
225	-100.7378353197	-200.9734852294	-209.682784362	
226	-117.6132305978	-214.7790442756	-201.21223246	
227	-109.2637093483	-200.769799926	-211.1311108152	
228	-109.2637093483	-200.769799926	-211.1311108152	
229	-109.2637093483	-211.1311108152	-200.769799926	
230	-101.7808207073	-208.1343232344	-214.7790442756	
231	-101.7808207073	-214.7790442756	-208.1343232344	
232	-101.7808207073	-208.1343232344	-214.7790442756	
233	-101.2517500783	-208.2781677345	-215.0163223195	
234	-101.2517500783	-208.2781677345	-215.0163223195	
235	-107.1485178171	-215.1727538096	-212.5939441691	
236	-107.1485178171	-215.1727538096	-212.5939441691	
237	-107.1485178171	-215.1727538096	-212.5939441691	
238	-107.1485178171	-215.1727538096	-212.5939441691	
239	-107.1485178171	-212.5939441691	-215.1727538096	
240	-107.1485178171	-215.1727538096	-212.5939441691	
241	-100.6246138665	-209.7051427652	-192.7119832817	
242	-100.6246138665	-192.7119832817	-209.7051427652	
243	-96.94225140434	-201.4395734179	-199.677126453	
244	-105.2633356582	-203.8332990799	-207.6219351187	
245	-99.86874604173	-200.2565755946	-208.7763646689	
246	-104.7644203663	-211.3984899497	-204.6468346591	
247	-104.7644203663	-211.3984899497	-204.6468346591	
248	-102.3533989106	-208.7624133405	-200.6473942034	
249	-110.6580722111	-214.7328764712	-212.1501323691	
250	-114.7878152529	-196.6777184442	-214.7328764712	
251	-114.7878152529	-196.6777184442	-214.7328764712	
252	-114.1106157156	-197.1212878401	-215.4896245262	
253	-114.1106157156	-197.1212878401	-215.4896245262	
254	-90.71965693363	-205.7526325593	-207.8346763586	
255	-90.71965693363	-202.2413317841	-199.0155282894	
256	-90.71965693363	-202.2413317841	-199.0155282894	
257	-95.38849067182	-208.5791766752	-199.5790505284	
258	-91.4312635374	-207.6667398829	-197.8514055943	
259	-91.4312635374	-197.8514055943	-207.6667398829	
260	-91.4312635374	-197.8514055943	-207.6667398829	
261	-90.92379440279	-207.8531386726	-198.1094479391	
262	-92.84520233559	-206.7908197544	-197.2489632136	
263	-92.84520233559	-206.7908197544	-197.2489632136	
264	-92.84520233559	-197.2489632136	-206.7908197544	
265	-93.28193133259	-206.3861686973	-197.0365632575	
266	-100.2002910046	-196.5591577903	-189.7595515705	
267	-100.2002910046	-196.5591577903	-189.7595515705	
268	-100.1219383742	-189.7711019328	-196.6259199813	
269	-100.1219383742	-189.7711019328	-196.6259199813	
270	-100.0639673986	-167.8634431651	-179.05873919	
271	-107.5707253284	-181.5651385587	-181.0116454971	
272	-104.9081016131	-167.1198919184	-189.5114910808	
273	-100.9070952267	-186.5510730417	-186.4221680504	
274	-100.3572525603	-186.5528598531	-186.895842005	
275	-100.3572525603	-186.5528598531	-186.895842005	
276	-100.3572525603	-186.895842005	-186.5528598531	
277	-100.3572525603	-186.895842005	-186.5528598531	
278	-100.3572525603	-186.5528598531	-186.895842005	
279	-100.5046180192	-186.7117398747	-186.515718027	
280	-100.5046180192	-181.8672670829	-186.1977509143	
281	-181.8672670829	-100.5046180192	-186.1977509143	
282	-181.8672670829	-100.5046180192	-186.1977509143	
283	-188.1968961995	-111.1247133419	-188.3421284384	
284	-102.4421343123	-174.2890153292	-187.8301366749	
285	-173.6024733493	-102.4421343123	-182.2880410139	
286	-102.4421343123	-173.6024733493	-182.2880410139	
287	-99.84116727987	-194.7698208319	-182.7433872679	
288	-92.95398487127	-167.5240799538	-181.8043902173	
289	-96.55717443605	-161.9139031102	-171.52124959	
290	-96.55717443605	-161.9139031102	-171.52124959	
291	-105.8522137504	-141.8449622777	-176.1954256436	
292	-101.0830183315	-133.8450841306	-171.5682185305	
293	-109.5135999877	-135.8961878543	-169.4313231184	
294	-93.9778043057	-119.5754088464	-172.981109629	
295	-93.9778043057	-124.0362630613	-181.7847377566	
296	-94.3504698495	-123.7308816965	-181.5032215934	
297	-96.12376511561	-119.3896646607	-177.2608862393	
298	-119.3896646607	-96.12376511561	-177.2608862393	
299	-119.3896646607	-96.12376511561	-177.2608862393	
300	-96.33963848884	-119.3325351391	-177.1441799956	
301	-119.327727628	-96.64859271042	-177.0890015672	
302	-96.64859271042	-119.327727628	-177.0890015672	
303	-89.94278363311	-182.7971666455	-121.9027482018	
304	-89.53111093409	-129.0706964143	-172.3361092606	
305	-129.0706964143	-89.53111093409	-172.3361092606	
306	-90.03058153104	-128.6513649007	-172.0968660229	
307	-90.03058153104	-128.6513649007	-172.0968660229	
308	-90.03058153104	-140.5663335051	-172.4149063867	
309	-90.03058153104	-140.5663335051	-172.4149063867	
310	-90.03058153104	-177.7277930493	-159.0302499406	
311	-90.03058153104	-159.0302499406	-177.7277930493	
312	-90.03058153104	-151.3644375011	-209.4317723301	
313	-89.46415171416	-152.0463921152	-210.2578294694	
314	-89.46415171416	-139.2967223002	-182.3951430455	
315	-90.1656370169	-138.4756569267	-181.4022721154	
316	-90.1656370169	-138.4756569267	-181.4022721154	
317	-90.1656370169	-181.4022721154	-138.4756569267	
318	-90.1656370169	-139.7821788821	-184.404772476	
319	-94.34611132146	-118.8699356484	-182.5915265691	
320	-106.6853430927	-138.5211933624	-181.052782638	
321	-106.6853430927	-138.5211933624	-181.052782638	
322	-100.9854015327	-120.7915132611	-173.1408617329	
323	-93.86682300983	-123.4456627816	-197.2745711251	
324	-93.86682300983	-123.4456627816	-197.2745711251	
325	-113.0543280916	-134.9374425385	-190.1093190471	
326	-131.7074672929	-100.566245882	-205.0147622584	
327	-100.516976469	-131.7125930538	-205.1237898593	
328	-100.516976469	-131.7125930538	-205.1237898593	
329	-107.1491181849	-123.1136551134	-209.9525876733	
330	-128.2665628131	-104.081167257	-208.622635705	
331	-128.2665628131	-104.081167257	-208.622635705	
332	-115.4499543925	-109.655018245	-210.1879901061	
333	-128.9407591421	-100.1986401306	-213.3463972109	
334	-100.1986401306	-122.7633143144	-217.7182109132	
335	-96.30500325925	-121.0208937666	-210.3824540346	
336	-96.30500325925	-121.0208937666	-210.3824540346	
337	-96.06174679474	-121.19683144	-211.6863655326	
338	-112.544728354	-93.60824267775	-207.7909469014	
339	-93.60824267775	-112.544728354	-207.7909469014	
340	-111.6424733575	-107.5729754904	-210.3341198611	
341	-107.6709875805	-111.9255058103	-210.025398894	
342	-106.5980155199	-122.1497213934	-215.4739361284	
343	-106.6097061538	-114.6787847695	-213.0168531535	
344	-106.6097061538	-114.6787847695	-213.0168531535	
345	-106.6282736923	-114.7063084827	-214.7750449487	
346	-88.79675613334	-111.5404747216	-218.679009175	
347	-90.22392817511	-111.97894109	-215.7286470712	
348	-90.22392817511	-111.97894109	-215.7286470712	
349	-113.216634582	-97.7793920115	-209.9576610476	
350	-125.0761299961	-100.7101239631	-209.2703989628	
351	-99.48482250918	-124.4330614049	-214.7164992749	
352	-126.1138217213	-101.4425395343	-208.959971973	
353	-125.4205151725	-100.9588624835	-209.1224904136	
354	-95.8719528546	-106.9534426616	-210.3559598929	
355	-95.8719528546	-106.9534426616	-210.3559598929	
356	-104.6865953091	-93.62754834067	-215.7600153426	
357	-93.80606112054	-104.6561853147	-214.3054625243	
358	-94.19194364741	-104.9070536552	-212.6940079404	
359	-104.9070536552	-94.19194364741	-212.6940079404	
360	-105.3428748356	-94.61647835303	-211.6988268435	
361	-99.6462339182	-113.3383697429	-216.1231043016	
362	-109.9482426972	-108.3244966692	-194.8646694068	
363	-112.3670218899	-120.7757167921	-178.3413039189	
364	-113.0002176487	-104.0139975558	-199.5401958996	
365	-113.0002176487	-104.0139975558	-199.5401958996	
366	-104.0139975558	-113.0002176487	-199.5401958996	
