Sweep	g
1	347993
2	347993
3	449080
4	449080
5	425805
6	151191
7	150292
8	150292
9	150292
10	29344.7
11	20267.4
12	20267.4
13	7371.04
14	5387.71
15	2114.31
16	1628.3
17	1628.3
18	1628.3
19	769.203
20	317.611
21	296.94
22	154.84
23	162.035
24	133.628
25	51.0219
26	15.0289
27	26.1861
28	26.1861
29	26.1861
30	9.94662
31	9.94662
32	9.4769
33	6.09679
34	6.09679
35	6.09679
36	5.38137
37	5.38137
38	8.66018
39	7.22033
40	7.22033
41	6.76819
42	6.76819
43	6.76819
44	6.055
45	6.055
46	6.055
47	6.055
48	6.055
49	6.055
50	6.055
51	6.055
52	6.055
53	6.055
54	6.055
55	6.055
56	9.48284
57	8.57993
58	8.57993
59	8.57993
60	5.78459
61	6.87472
62	7.28336
63	7.28336
64	7.28336
65	6.66598
66	6.66598
67	6.66598
68	7.87508
69	7.87508
70	7.36213
71	7.83426
72	7.83426
73	7.9704
74	7.9704
75	7.9704
76	7.09452
77	7.24841
78	7.24841
79	7.20672
80	7.20672
81	7.20672
82	7.20672
83	7.20672
84	7.20672
85	7.20672
86	7.9112
87	7.9112
88	8.44186
89	8.44186
90	8.44186
91	7.0251
92	7.0251
93	7.0251
94	7.0251
95	7.0251
96	7.0251
97	7.0251
98	7.0251
99	7.0251
100	7.0251
101	7.0251
102	7.0251
103	7.0251
104	7.0251
105	7.0251
106	7.0251
107	7.0251
108	7.0251
109	7.0251
110	7.0251
111	7.0251
112	7.0251
113	7.0251
114	6.46916
115	6.46916
116	10.6055
117	10.6055
118	8.91939
119	8.91939
120	8.91939
121	8.91939
122	8.91939
123	8.91939
124	8.91939
125	8.91939
126	8.91939
127	8.91939
128	8.91939
129	7.82856
130	6.73304
131	6.73304
132	6.73304
133	6.73304
134	6.73304
135	6.73304
136	6.73304
137	6.73304
138	6.73304
139	6.73304
140	6.54012
141	6.54012
142	6.54012
143	6.54012
144	6.54012
145	6.54012
146	6.54012
147	6.54012
148	6.54012
149	6.54012
150	6.54012
151	6.54012
152	6.54012
153	6.54012
154	6.54012
155	6.54012
156	6.54012
157	6.54012
158	6.54012
159	6.54012
160	6.54012
161	6.54012
162	6.54012
163	6.54012
164	6.54012
165	6.54012
166	6.54012
167	6.54012
168	6.54012
169	6.54012
