Sweep	Chain_l	Chain_r
1	3	2
2	2	1
3	2	1
4	3	1
5	1	3
6	3	1
7	1	3
8	2	1
9	2	1
10	1	2
11	2	3
12	2	1
13	1	2
14	2	3
15	1	3
17	1	2
18	1	2
21	1	2
22	1	2
23	1	3
24	3	1
25	1	2
26	2	1
27	2	1
28	2	3
32	2	1
33	2	1
53	3	2
55	3	2
59	2	3
60	2	3
63	2	3
68	3	2
70	3	2
71	3	2
76	2	3
77	3	2
89	2	3
92	3	2
93	2	3
97	3	2
98	2	3
99	2	3
100	3	2
101	3	2
104	2	3
105	2	3
109	3	2
112	2	3
113	3	2
114	2	3
123	3	2
125	3	2
132	2	3
133	3	2
134	3	2
145	2	3
147	2	3
153	3	2
155	3	2
156	2	3
164	2	3
167	3	2
174	3	2
177	2	3
181	2	3
182	2	3
183	3	2
184	3	2
191	2	3
196	3	2
199	3	2
205	3	2
206	3	2
207	2	3
208	2	3
210	2	3
214	3	2
215	2	3
217	3	2
219	3	2
220	2	3
221	2	3
222	2	3
226	3	2
227	2	3
229	2	3
231	3	2
232	3	2
239	3	2
240	2	3
241	3	2
242	2	3
243	2	3
244	2	3
246	2	3
254	3	2
259	2	3
261	3	2
264	3	2
265	3	2
268	2	3
270	3	2
271	3	2
272	3	2
276	3	2
278	3	2
279	3	2
281	1	2
284	2	1
285	2	1
286	2	1
287	3	2
289	3	2
298	1	2
300	1	2
301	1	2
302	1	2
303	2	3
304	2	3
305	1	2
306	2	1
310	3	2
311	3	2
317	3	2
318	2	3
326	2	1
327	2	1
330	1	2
334	1	2
338	2	1
339	2	1
340	1	2
341	1	2
349	1	2
351	1	2
352	2	1
354	1	2
356	1	2
357	1	2
359	2	1
361	2	1
362	1	2
364	1	2
366	2	1
367	2	1
374	1	2
376	2	1
377	2	1
378	1	2
379	1	2
381	2	1
382	1	2
383	2	1
384	2	1
385	1	2
386	2	1
390	2	1
391	2	1
392	1	2
393	1	2
394	1	2
398	2	1
402	1	2
403	1	2
408	1	2
409	1	2
410	1	2
413	1	2
414	1	2
424	2	1
425	1	2
429	1	2
431	1	2
438	2	1
439	2	1
440	1	2
441	2	1
445	2	1
447	1	2
449	1	2
451	1	2
453	1	2
454	2	1
456	2	1
457	1	2
458	1	2
459	2	1
467	1	2
469	2	1
474	1	2
475	1	2
476	2	1
477	1	2
481	1	2
482	1	2
496	2	1
500	1	2
507	2	1
508	1	2
515	1	2
516	1	2
532	1	2
534	2	1
538	2	1
541	2	1
542	1	2
546	2	1
553	1	2
554	1	2
556	1	2
557	2	1
558	1	2
561	1	2
567	1	2
571	1	2
573	2	1
596	1	2
610	1	2
611	1	2
619	1	2
622	2	1
626	1	2
629	1	2
653	1	2
655	1	2
666	1	2
668	1	2
678	2	3
679	2	3
711	2	1
712	1	2
747	2	1
748	1	2
749	1	2
753	1	2
754	1	2
756	1	2
758	2	1
759	1	2
760	2	1
761	1	2
764	2	1
766	1	2
767	2	1
774	1	2
776	2	1
777	2	1
779	2	1
781	1	2
782	1	2
783	1	2
784	1	2
785	1	2
789	1	2
790	1	2
792	1	2
793	2	1
794	2	1
798	1	2
799	2	1
800	1	2
811	2	1
813	2	1
823	1	2
824	1	2
825	2	1
826	1	2
828	1	2
830	1	2
864	2	1
866	1	2
867	1	2
868	1	2
