Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1	3	16	1	3
2	3	22	3	1
4	1	1	3	1
7	3	13	1	3
8	1	1	1	3
9	2	2	3	1
10	2	2	3	1
13	3	21	1	3
17	1	1	2	1
19	1	1	2	1
20	3	18	2	1
22	1	1	1	2
29	2	2	1	2
31	2	2	1	2
32	2	2	1	2
35	1	1	1	2
36	2	2	1	2
39	2	2	1	2
43	3	14	1	2
54	3	9	1	3
66	3	18	1	3
79	3	15	1	3
80	3	20	1	3
86	3	16	1	2
90	2	2	1	2
93	3	3	1	2
95	3	7	1	3
100	1	1	1	3
106	3	15	1	2
146	3	7	1	3
154	3	8	1	2
177	2	2	1	3
210	3	25	1	2
212	3	14	1	3
216	3	17	1	2
221	3	7	1	2
229	3	13	1	2
247	3	15	1	3
260	3	15	1	2
269	3	16	1	3
286	3	21	2	3
296	3	14	1	3
298	3	13	1	3
301	2	2	1	2
305	3	15	1	3
309	3	9	1	2
327	3	13	2	3
328	3	7	1	2
331	3	13	2	1
336	2	2	1	2
339	3	14	2	1
341	1	1	1	2
344	3	6	1	2
353	3	15	2	1
356	3	6	1	2
360	3	19	2	1
374	3	18	1	2
379	3	7	2	1
382	2	2	1	2
393	3	17	2	1
409	3	17	1	2
427	3	18	1	2
429	3	9	1	3
437	3	9	1	2
440	3	20	1	2
441	3	14	2	1
445	3	19	2	1
449	1	1	1	2
456	3	9	1	2
457	3	13	2	1
459	3	11	2	1
466	3	13	1	2
467	3	11	1	2
486	3	20	1	2
492	3	9	1	2
494	3	13	1	2
504	3	14	1	2
509	3	21	1	2
510	3	25	1	2
520	3	16	1	2
523	3	5	1	2
527	3	11	1	2
528	3	14	1	2
545	2	2	2	3
547	3	22	1	2
552	3	12	1	2
553	3	15	1	2
565	3	9	1	2
571	1	1	1	2
576	3	29	1	2
579	3	7	1	2
583	1	1	1	2
585	2	2	1	3
587	3	22	1	3
588	3	5	1	2
593	3	20	1	2
597	3	20	1	2
602	3	13	1	2
603	3	9	1	3
606	3	15	1	2
614	2	2	1	2
624	3	10	1	2
629	3	19	2	1
635	3	24	1	2
652	3	18	1	2
653	3	15	1	2
654	3	8	2	1
657	3	20	1	2
672	3	24	1	3
688	3	14	1	2
692	3	9	1	3
693	3	17	1	3
695	3	8	1	3
700	3	12	1	2
702	3	22	1	2
708	1	1	1	2
714	3	8	1	3
720	3	16	1	2
721	3	5	1	3
727	3	17	1	3
730	3	5	1	2
740	3	12	1	2
752	2	2	1	2
762	3	14	1	2
768	1	1	1	2
770	3	14	1	2
771	3	14	1	2
776	3	20	1	2
781	3	25	2	1
788	3	20	2	1
790	3	22	1	2
802	3	3	1	2
821	3	10	1	2
827	2	2	1	2
831	3	12	1	3
832	2	2	1	2
838	3	22	1	3
839	3	14	1	2
844	1	1	1	2
845	2	2	1	2
847	3	18	1	2
849	3	29	1	3
851	3	7	1	3
852	3	16	1	3
878	3	21	1	3
880	2	2	1	2
887	2	2	1	2
892	3	21	2	1
895	3	19	2	1
896	1	1	1	2
910	3	12	1	2
914	3	12	2	1
925	2	2	1	2
926	3	12	1	2
929	3	7	1	2
951	3	7	1	2
958	3	17	1	2
963	3	29	1	2
969	3	20	1	2
971	3	13	2	1
975	3	9	1	2
976	1	1	1	2
977	2	2	1	2
980	3	22	1	2
988	1	1	1	2
991	3	7	1	2
993	3	20	1	2
1006	3	8	1	2
1019	3	19	1	2
1022	3	20	1	2
1023	1	1	1	2
1025	3	8	2	1
1028	3	10	1	2
1033	2	2	1	2
1038	1	1	1	2
1039	3	18	1	2
1044	3	9	2	1
1046	3	7	1	2
1047	3	12	2	1
1048	2	2	1	2
1049	2	2	2	1
1051	1	1	1	2
1055	3	30	2	1
1056	3	25	1	2
1058	3	18	1	2
1061	1	1	1	2
1068	3	12	1	2
1069	1	1	1	2
1074	2	2	1	2
1078	1	1	1	2
1079	3	12	2	1
1089	2	2	1	2
1099	1	1	2	1
1104	2	2	1	2
1158	3	9	1	3
1167	3	7	1	3
1171	3	17	1	3
1177	3	13	1	3
1178	3	15	1	3
1185	3	28	1	3
1195	3	12	1	3
1199	3	26	1	3
1229	3	12	1	3
1248	3	28	1	2
1255	3	17	1	2
1269	3	10	1	2
1295	2	2	1	2
1302	3	20	1	3
1307	3	10	1	2
1314	3	6	1	3
1318	3	26	1	3
1326	3	9	1	3
1327	3	18	1	3
1328	3	15	1	2
1334	3	17	1	2
1346	3	11	1	3
1355	3	8	1	2
1362	3	21	1	2
1373	1	1	1	2
1382	3	7	1	3
1392	3	10	1	3
1448	3	5	1	2
1471	3	16	1	2
1482	3	12	1	3
1493	3	14	1	2
1498	1	1	1	2
1505	3	7	1	2
1506	3	12	1	2
1515	3	23	1	2
1518	3	8	1	3
1519	3	17	1	3
1524	3	5	1	3
1528	3	18	1	2
1533	3	13	1	2
1539	3	11	1	3
1558	3	6	1	2
1580	3	5	1	2
1582	3	22	1	2
1584	3	11	1	2
1605	3	9	1	3
1612	3	5	1	2
1629	1	1	1	2
1631	3	20	2	1
1632	3	16	2	1
1633	3	10	1	2
1636	3	20	1	2
1640	3	20	2	1
1641	2	2	1	2
1642	1	1	2	1
1652	1	1	2	1
1655	2	2	2	1
1658	3	7	1	2
1672	2	2	1	2
1673	2	2	2	1
1679	3	19	1	3
1682	3	18	1	2
1689	3	18	1	2
1691	3	19	2	1
1694	3	22	2	1
1695	1	1	1	2
1696	3	14	1	2
1698	3	7	2	1
1702	3	10	2	1
1704	1	1	1	2
1719	3	8	1	2
1729	3	3	1	2
1738	3	23	2	1
1742	1	1	2	1
1744	3	6	2	1
1757	3	15	1	2
1760	3	6	1	3
1768	3	21	1	2
1774	3	17	2	1
1781	3	12	2	1
1783	3	12	1	2
1791	3	14	1	2
1795	3	14	2	1
1797	3	6	1	2
1803	2	2	1	2
1807	2	2	1	2
1822	3	10	1	2
1823	3	8	1	2
1829	1	1	2	1
1861	2	2	1	2
1862	3	5	1	2
1867	1	1	2	1
1869	1	1	2	1
1871	3	13	1	2
1872	2	2	1	2
1873	3	15	1	2
1875	3	15	1	2
1878	3	14	1	2
1880	3	9	1	2
1881	2	2	1	2
1882	3	14	1	2
1894	3	16	1	2
1902	3	14	1	2
1904	1	1	2	1
1918	2	2	1	2
1920	3	21	1	2
1925	3	15	1	2
1929	3	9	1	2
1937	3	8	2	1
1941	3	32	1	2
1943	3	17	1	2
1949	3	15	2	1
1951	3	18	1	2
1952	3	23	1	2
1953	3	15	2	1
1956	3	25	1	2
1965	3	26	2	1
1970	3	6	1	2
1982	3	10	1	2
2008	2	2	1	2
2011	3	9	1	2
2014	3	10	1	3
2015	3	7	1	2
2016	3	15	1	2
2017	3	18	1	2
2019	2	2	1	2
2023	3	8	1	2
2027	3	4	2	1
2031	3	21	1	2
2033	3	3	1	2
2042	3	5	2	1
2054	3	8	1	2
2060	3	12	1	3
2063	1	1	1	2
2070	3	9	1	2
2086	3	6	1	2
2093	2	2	2	1
2095	2	2	1	2
2119	3	18	1	2
2134	3	11	1	2
2139	3	15	1	3
2141	3	25	1	3
2165	3	17	1	2
2166	3	15	1	3
2182	3	8	1	3
2192	3	5	1	2
2196	3	12	1	3
2203	3	33	1	2
2224	3	7	1	2
2230	3	6	1	2
2238	3	15	1	2
2249	1	1	2	1
2252	1	1	1	2
2258	3	20	1	2
2262	3	19	1	3
2268	3	29	1	3
2273	3	12	1	3
2294	3	21	1	2
2297	3	20	1	3
2308	3	15	1	2
2310	3	10	1	3
2313	3	19	1	2
2322	3	12	1	2
2330	3	7	2	1
2346	3	7	2	1
2349	3	15	2	1
2351	3	24	1	3
2374	3	4	1	2
2391	3	5	2	1
2396	1	1	1	2
2410	3	20	1	2
2418	3	13	1	3
2419	3	6	1	2
2422	3	23	1	2
2427	3	8	1	2
2428	1	1	1	2
2439	3	24	1	2
2443	3	4	1	2
2445	3	22	1	2
2447	3	25	2	1
2448	3	12	2	1
2461	3	4	1	2
2463	3	20	1	2
2465	3	15	1	2
2468	1	1	1	2
2492	3	15	1	2
2501	3	11	2	1
2515	3	20	1	2
2516	1	1	1	2
2518	3	13	1	2
2527	3	7	1	2
2539	3	30	1	2
2542	3	6	2	1
2543	3	15	2	1
2549	3	14	1	3
2554	1	1	1	2
2560	3	6	2	1
2564	2	2	1	2
2569	3	18	1	2
2573	3	14	1	2
2583	2	2	1	2
2584	3	12	2	1
2590	3	16	1	2
2593	3	15	2	1
2596	3	7	1	2
2600	3	13	1	3
2626	3	20	1	3
2633	3	11	1	2
2643	3	11	1	2
2673	2	2	1	2
2674	3	14	2	1
2675	1	1	1	2
2684	3	20	2	1
2701	3	18	1	2
2702	3	17	1	2
2707	3	6	1	3
2708	3	12	1	3
2713	1	1	1	2
2714	3	6	1	3
2716	3	11	1	2
2724	2	2	1	2
2729	2	2	2	1
2737	3	7	2	1
2738	3	10	2	1
2741	3	10	1	2
2747	3	7	2	1
2755	3	21	1	2
2767	1	1	1	2
2771	3	23	1	2
2773	3	9	1	2
2775	2	2	1	2
2782	3	9	2	1
2787	3	20	1	2
2793	1	1	1	3
2799	3	12	2	1
2806	2	2	1	2
2809	3	21	2	1
2833	3	12	1	2
2834	2	2	1	2
2845	3	22	1	3
2857	3	26	1	2
2859	3	17	1	3
2867	3	14	1	2
2871	3	13	1	2
2873	3	19	1	2
2885	3	19	1	2
2894	1	1	1	3
2896	3	7	1	2
2897	3	6	1	2
2907	2	2	1	2
2910	1	1	1	2
2914	1	1	1	3
2915	3	23	1	2
2916	3	4	1	3
2918	3	10	1	2
2919	3	13	1	3
2920	3	19	1	3
2921	3	13	1	3
2923	1	1	1	3
2927	3	13	1	2
2934	3	18	1	3
