Sweep	Chain_l	Chain_r
1002	1	2
1003	1	1
1004	1	2
1009	1	1
1010	1	2
1012	1	2
1013	1	2
1016	1	1
1018	1	1
1019	1	1
1020	1	2
1021	1	2
1022	1	1
1024	1	1
1026	1	1
1027	1	1
1029	1	1
1031	1	2
1032	1	1
1036	1	2
1037	1	1
1038	1	1
1039	1	1
1040	1	1
1041	1	1
1042	1	1
1044	1	2
1045	1	1
1046	1	2
1047	1	2
1049	1	2
1053	1	1
1056	1	1
1057	1	1
1058	1	1
1062	1	2
1065	1	1
1068	1	1
1069	1	1
1073	1	1
1074	1	2
1075	1	1
1077	1	2
1078	1	2
1079	1	1
1080	1	1
1082	1	1
1084	1	2
1087	1	1
1088	1	1
1089	1	1
1095	1	2
1098	1	2
1101	1	2
1107	1	2
1110	1	1
1114	1	1
1118	1	1
1119	1	1
1120	1	1
1122	1	2
1129	1	1
1130	1	1
1131	1	1
1132	1	1
1133	1	1
1134	1	1
1137	1	2
1138	1	2
1140	1	1
1141	1	1
1143	1	1
1144	1	1
1148	1	1
1150	1	1
1151	1	1
1152	1	1
1154	1	1
1155	1	1
1156	1	1
1158	1	1
1160	1	1
1161	1	1
1162	1	1
1164	1	1
1165	1	1
1166	2	3
1167	2	3
1169	1	1
1170	2	3
1171	1	1
1173	1	1
1174	1	1
1177	1	1
1181	1	1
1183	1	1
1190	1	1
1192	1	1
1197	1	1
1199	1	1
1200	1	1
1201	1	1
1203	1	1
1205	1	1
1207	1	1
1209	1	1
1210	1	1
1211	1	1
1212	1	1
1217	2	3
1219	2	3
1220	1	1
1221	1	1
1222	1	1
1223	1	1
1224	1	1
1226	1	1
1228	1	1
1231	1	1
1234	1	1
1235	1	1
1236	1	1
1237	1	1
1238	2	3
1243	1	1
1244	1	1
1248	1	1
1250	1	1
1251	2	3
1254	2	3
1255	1	1
1257	1	1
1259	1	1
1261	1	1
1264	1	1
1265	1	1
1267	1	1
1268	1	1
1269	1	1
1272	1	1
1274	2	3
1275	1	1
1276	1	1
1280	2	3
1284	1	1
1286	1	1
1289	1	1
1290	1	1
1293	1	1
1295	1	1
1296	1	1
1297	1	1
1305	1	1
1307	1	1
1308	1	1
1309	1	1
1311	1	1
1315	1	1
1317	1	1
1319	1	1
1320	1	1
1325	1	1
1326	1	1
1328	1	1
1330	1	1
1331	1	1
1332	1	1
1335	1	1
1336	1	1
1337	1	1
1338	1	1
1341	1	1
1343	1	1
1344	1	1
1346	1	1
1347	1	1
1350	1	1
1351	1	1
1355	1	1
1357	1	1
1358	1	1
1359	1	1
1362	1	1
1363	1	1
1364	1	1
1365	1	1
1369	2	3
1370	2	3
1371	1	1
1374	1	1
1375	1	1
1376	1	1
1377	1	1
1378	1	1
1380	1	1
1381	1	1
1383	1	1
1384	1	1
1386	1	1
1387	1	1
1388	2	3
1389	2	3
1395	1	1
1396	1	1
1397	1	1
1400	1	1
1401	1	1
1403	1	1
1405	1	1
1408	1	1
1409	1	1
1410	2	3
1414	2	3
1417	1	1
1421	1	1
1422	1	1
1423	1	1
1424	1	1
1425	1	1
1426	1	1
1427	1	1
1428	1	1
1429	1	1
1431	1	1
1434	1	1
1438	1	1
1441	1	1
1442	1	1
1443	1	1
1448	1	1
1451	1	1
1452	1	1
1453	1	1
1456	1	1
1457	1	1
1459	1	1
1461	1	1
1464	1	1
1465	1	1
1468	1	1
1469	1	1
1470	1	1
1472	1	1
1473	1	1
1475	1	1
1476	1	1
1477	1	1
1478	1	1
1479	1	2
1481	1	1
1482	1	1
1484	1	2
1486	1	1
1487	1	1
1490	1	1
1491	1	1
1493	1	1
1496	1	1
1497	1	1
1499	1	1
1500	1	1
1501	1	1
1504	1	1
1506	1	2
1507	1	2
1508	1	1
1510	1	1
1512	1	2
1513	1	2
1514	1	1
1515	1	1
1517	2	3
1522	1	1
1525	1	1
1526	1	1
1529	1	1
1530	2	3
1532	2	3
1535	1	1
1537	1	1
1542	1	1
1544	1	2
1548	2	3
1549	1	1
1553	1	1
1554	1	1
1556	1	1
1561	1	1
1563	1	1
1564	1	1
1569	1	1
1573	1	1
1575	1	1
1576	1	1
1582	1	1
1583	1	1
1584	1	1
1585	1	1
1586	1	1
1587	1	1
1588	1	1
1590	1	2
1592	1	2
1593	1	1
1594	1	1
1595	1	1
1596	1	1
1597	1	1
1598	1	2
1603	1	1
1607	1	1
1610	1	2
1616	1	1
1617	1	2
1620	1	1
1624	1	1
1625	1	2
1626	1	1
1627	1	1
1628	1	1
1629	1	1
1632	1	2
1634	1	1
1635	1	2
1644	1	2
1645	1	1
1646	1	2
1650	1	2
1652	1	1
1653	1	2
1654	1	2
1660	1	1
1662	1	1
1663	1	1
1664	1	1
1665	1	1
1666	1	1
1669	1	2
1671	1	1
1672	1	2
1674	1	2
1675	1	2
1678	1	1
1681	1	1
1682	1	1
1688	1	1
1689	1	1
1692	1	1
1693	1	1
1703	1	2
1705	1	1
1706	1	2
1707	1	1
1709	2	3
1710	2	3
1711	1	2
1712	1	1
1713	1	2
1716	1	1
1717	1	1
1718	1	1
1722	1	2
1723	1	2
1725	1	1
1732	1	2
1733	2	3
1734	1	1
1736	1	1
1737	1	2
1741	1	1
1742	1	2
1743	1	1
1745	2	3
1746	1	2
1747	1	2
1748	1	1
1750	1	1
1751	1	1
1752	1	1
1754	1	1
1755	2	3
1758	2	3
1759	1	1
1762	1	1
1765	1	1
1768	1	1
1769	1	1
1773	1	1
1774	1	1
1777	1	1
1778	1	1
1779	1	1
1782	1	1
1787	1	1
1788	1	1
1789	1	1
1791	1	1
1792	1	1
1796	1	1
1797	1	1
1799	1	2
1801	1	2
1803	1	1
1804	1	1
1805	1	1
1808	1	1
1813	1	1
1818	1	1
1819	1	2
1821	1	2
1822	1	1
1823	1	1
1826	1	1
1827	1	1
1829	1	2
1832	1	2
1834	1	2
1841	1	2
1842	1	1
1846	1	2
1848	1	2
1849	1	1
1850	1	1
1851	1	1
1852	1	2
1854	1	2
1855	1	1
1860	1	1
1861	1	1
1864	1	1
1867	1	2
1870	1	1
1871	1	1
1872	1	2
1873	1	2
1874	1	1
1877	1	1
1878	1	1
1881	1	1
1883	1	2
1884	1	2
1885	1	2
1888	1	1
1889	1	2
1890	1	1
1891	1	1
1894	1	1
1897	1	1
1898	1	1
1900	1	1
1901	1	1
1902	1	2
1903	1	2
1904	1	2
1906	1	1
1908	1	1
1911	1	1
1916	1	1
1917	1	1
1918	1	1
1921	1	2
1924	1	1
1925	1	1
1928	1	1
1933	1	2
1934	1	1
1935	1	1
1936	1	2
1937	1	2
1938	1	1
1939	1	1
1940	1	1
1941	1	1
1943	1	1
1948	1	2
1949	1	1
1957	1	1
1959	1	2
1960	1	1
1961	1	2
1963	1	1
1965	1	2
1966	1	2
1973	1	1
1974	1	1
1977	1	1
1980	1	1
1981	1	1
1984	1	1
1985	1	1
1986	1	1
1987	1	1
1988	1	1
1993	1	1
1995	1	1
1996	1	1
1997	1	1
1998	1	1
1999	1	1
2000	1	1
2001	1	1
2002	1	1
2006	1	1
2008	1	1
2009	1	1
2010	1	1
2014	1	1
2015	1	1
2019	1	1
2020	1	1
2021	1	1
2022	1	1
2026	1	1
2027	1	1
2028	1	1
2029	1	1
2031	1	2
2035	1	1
2036	1	2
2038	1	2
2039	1	1
2040	1	1
2043	1	1
2044	1	2
2045	1	1
2046	1	1
2048	1	1
2049	1	1
2051	1	1
2053	1	1
2054	1	1
2058	1	1
2059	1	1
2062	1	1
2067	1	2
2068	1	1
2069	1	1
2072	1	1
2075	1	1
2077	1	1
2080	1	1
2081	1	1
2082	1	1
2084	1	1
2086	1	1
2087	1	1
2090	1	2
2094	1	1
2097	1	1
2103	1	1
2104	1	1
2108	1	1
2110	1	1
2112	1	1
2113	1	1
2114	1	1
2116	1	1
2117	1	1
2118	1	1
2120	1	1
2121	1	1
2122	1	1
2123	1	1
2124	1	1
2126	1	1
2128	1	1
2131	1	1
2132	1	1
2133	1	1
2135	1	1
2137	1	1
2138	1	1
2139	1	1
2141	1	1
2144	1	1
2149	1	1
2150	1	1
2152	1	2
2154	1	1
2156	1	2
2157	1	1
2160	1	1
2161	1	1
2162	1	1
2165	1	1
2167	1	1
2168	1	1
2169	1	1
2170	1	1
2171	1	1
2175	1	1
2176	1	1
2178	1	1
2181	1	1
2182	1	1
2185	1	1
2191	1	1
2192	1	1
2193	1	1
2196	1	1
2197	1	1
2198	1	1
2205	1	1
2206	1	1
2208	1	1
2209	1	1
2210	1	1
2212	1	1
2213	1	1
2217	1	1
2219	1	1
2220	1	1
2221	1	1
2223	1	1
2226	1	1
2230	1	1
2231	1	1
2232	2	3
2236	1	1
2237	1	1
2239	1	1
2240	1	1
2241	1	1
2244	1	1
2248	1	2
2249	1	1
2251	1	1
2252	1	1
2253	1	2
2254	1	1
2255	1	2
2256	1	1
2258	1	1
2260	1	1
2262	1	1
2265	1	1
2267	1	1
2274	1	1
2275	1	1
2276	1	1
2278	1	1
2282	1	1
2284	1	1
2287	1	1
2288	1	1
2289	1	1
2292	1	1
2295	1	1
2296	1	1
2298	1	1
2299	1	1
2302	1	1
2303	1	1
2305	1	1
2308	1	1
2309	1	1
2310	1	1
2311	1	1
2313	1	1
2314	1	1
2316	1	1
2317	1	1
2319	1	1
2320	1	1
2323	1	1
2325	1	1
2330	1	2
2333	1	1
2337	1	1
2340	1	1
2341	1	1
2343	1	1
2344	1	1
2348	1	2
2350	1	1
2351	1	1
2353	1	1
2355	1	1
2357	1	1
2358	1	1
2361	1	1
2362	1	1
2364	1	1
2366	1	1
2368	1	2
2369	1	1
2370	1	1
2371	1	1
2373	1	2
2374	1	2
2378	1	1
2379	1	1
2382	1	2
2383	1	1
2385	1	2
2388	1	1
2391	1	2
2392	1	1
2393	1	2
2394	1	2
2395	1	1
2398	1	1
2399	1	2
2403	1	2
2404	1	1
2405	1	1
2406	1	1
2407	1	1
2408	1	1
2410	1	2
2411	1	2
2412	1	2
2413	1	1
2414	1	1
2418	1	1
2419	1	1
2420	1	1
2423	1	2
2425	1	1
2426	1	1
2430	1	1
2431	1	2
2432	1	1
2433	1	2
2434	1	2
2435	1	2
2438	1	1
2445	1	1
2446	1	2
2447	1	1
2454	1	1
2455	1	1
2456	1	1
2458	1	1
2461	1	2
2462	1	2
2465	1	2
2468	1	1
2472	1	2
2473	1	2
2474	1	1
2480	1	1
2481	1	2
2482	1	2
2484	1	1
2485	1	2
2486	1	2
2487	1	1
2488	1	1
2489	1	1
2494	1	2
2495	1	1
2496	1	1
2498	1	1
2499	1	2
2502	1	2
2503	1	1
2505	1	1
2510	1	1
2511	1	2
2513	1	2
2518	1	1
2519	1	1
2522	1	1
2523	1	2
2524	1	1
2527	1	1
2530	1	1
2533	1	2
2534	1	2
2535	1	1
2538	1	1
2539	1	1
2540	1	1
