Predictor	Marg_Prob_Incl
1	0.00454312357620386
2	2.17644361577331e-06
3	8.28317962838012e-05
4	9.17154107099419e-05
5	4.58074430188735e-05
6	0.000167401535551679
7	2.09900774830402e-06
8	3.2328035791322e-06
9	0.000965445170213276
10	1.13760904233842e-08
11	1.11706354754586e-09
12	2.1616971137683e-07
13	2.17525634346559e-13
14	8.69042225651216e-09
15	5.35135688507725e-09
16	0.00254615340049376
17	3.84204080612142e-05
18	0.000701155960896615
19	7.51339124754131e-05
20	1.04253801696867e-08
21	2.14102349687555e-09
22	1.4513166707922e-11
23	4.27241588731732e-12
24	9.88976877601655e-10
25	1.66009379071193e-07
26	1.02009629578725e-06
27	8.29867745844189e-06
28	0.000180499725178758
29	2.56652207278024e-07
30	4.77122868464747e-08
31	7.18262295994421e-08
32	5.40933722443142e-08
33	2.92073066435064e-06
34	1.40203181762098e-08
35	3.74964045313219e-08
36	9.96158439835551e-09
37	7.38387150641604e-09
38	3.56266066487103e-08
39	1.67960679326743e-06
40	1.71149833038457e-19
41	6.15220025327588e-07
42	1.43033011466716e-07
43	1.03453054034237e-06
44	2.37451762938558e-07
45	7.83397266901314e-09
46	2.14714529322039e-08
47	5.44262419662695e-21
48	7.36435210091641e-08
49	7.77943528802869e-08
50	3.79935384031533e-10
51	7.14183214962142e-07
52	1.18759391236121e-08
53	5.46047356082342e-10
54	0.00010867629517632
55	4.82269363653384e-06
56	4.12568411204605e-09
57	2.72798541951912e-05
58	1.14047233358169e-08
59	2.05117348246172e-05
60	2.02224252763044e-09
61	1.35955972844181e-07
62	8.12730780477563e-07
63	1.72594543748739e-07
64	4.73183157472855e-07
65	9.66019711370393e-09
66	1.39517729421531e-07
67	7.69002179743279e-08
68	3.18879298426634e-06
69	2.10098902064652e-09
70	0.000102224683133909
71	0.000180419767424661
72	0.000594996454155163
73	0.00415386162328527
74	0.00135165580971647
75	8.28439714881517e-10
76	7.59952595315812e-08
77	1.55749794379705e-06
78	4.17254379462053e-10
79	1.37825272168683e-10
80	4.61954556610143e-09
81	5.4415195625768e-09
82	1.45267936458239e-11
83	3.9008524793399e-08
84	9.33890981236472e-15
85	5.81698554241111e-08
86	3.22131616197629e-09
87	3.66288633699502e-08
88	4.94926711577519e-10
89	5.3649831754371e-05
90	2.40350509122753e-06
91	2.59394021014192e-06
92	2.1256299648941e-07
93	1.56841465448021e-07
94	3.93184555499584e-06
95	3.54659802609367e-06
96	1.08622380722767e-06
97	1.21697315363249e-05
98	0.000369341655795539
99	4.79481427215773e-07
100	2.01720894613384e-10
101	0.041526836210423
102	0.508536269368285
103	8.40957754979375e-06
104	1.19133214926229e-07
105	1.12655473394011e-07
106	1.32356010433441e-06
107	3.23126128508901e-05
108	2.05258015018583e-05
109	4.24989606279376e-08
110	6.18601728722065e-09
111	8.42696013938806e-09
112	2.6769843261107e-14
113	3.96428419063029e-09
114	5.97177288114577e-09
115	4.2578229946822e-10
116	3.76772907595118e-10
117	1.13928407533349e-16
118	1.11776177332679e-13
119	9.15138887150679e-14
120	3.91498666384411e-14
121	3.60686405798785e-14
122	3.04525689111407e-12
123	6.60617165056247e-10
124	8.83248757066457e-13
125	4.45997459812922e-10
126	1.25170254640728e-10
127	2.47068081840373e-30
128	6.87140011620577e-07
129	2.48828887365653e-12
130	4.16244925613698e-11
131	2.9861261508053e-10
132	1.37194158149626e-08
133	1.41495093921136e-07
134	1.71121583580714e-15
135	3.88616948149976e-07
136	1.12225690027007e-09
137	4.35477960010063e-05
138	2.57308570622136e-08
139	3.75254571476611e-05
140	1.11163212603784e-06
141	2.44924638162595e-09
142	3.67922437944596e-06
143	1.95314832209355e-09
144	7.34971041948132e-10
145	8.67884773882175e-11
146	3.03001146336929e-12
147	4.22806101962762e-13
148	1.29180536906088e-11
149	1.43295629436918e-08
150	1.20674065330915e-09
151	1.57016639385131e-11
152	1.16123140543808e-09
153	6.80274957786288e-10
154	9.36925190083616e-09
155	1.81026712926369e-06
156	1.5433366576776e-06
157	9.93750461512692e-07
158	4.9033687258753e-07
159	1.17832412935693e-07
160	1.14808110756417e-08
161	0.0406202633999633
162	3.06009945079321e-09
163	1.17146231707934e-14
164	8.24455981003519e-09
165	6.96039240870843e-09
166	0.000353916631354153
167	0.000152915907415086
168	0.000328376703990684
