Sweep	Chain_1	Chain_2	Chain_3	
1	2	2	2	
2	2	2	2	
3	1	1	1	
4	1	1	1	
5	1	1	1	
6	1	1	1	
7	1	1	1	
8	1	1	1	
9	1	1	1	
10	1	1	1	
11	1	1	1	
12	1	1	1	
13	1	1	1	
14	1	1	1	
15	1	1	1	
16	1	1	3	
17	1	1	3	
18	1	1	2	
19	1	1	2	
20	1	1	2	
21	1	1	2	
22	1	1	2	
23	1	2	1	
24	1	1	1	
25	1	1	7	
26	1	1	4	
27	1	1	4	
28	1	3	3	
29	1	3	3	
30	1	3	20	
31	2	2	20	
32	2	2	20	
33	2	2	20	
34	2	2	29	
35	2	2	29	
36	1	3	29	
37	2	6	29	
38	2	6	29	
39	3	5	29	
40	2	6	28	
41	2	6	28	
42	1	5	29	
43	1	5	29	
44	2	6	27	
45	2	6	27	
46	2	12	29	
47	1	13	28	
48	1	13	28	
49	2	20	27	
50	2	20	27	
51	2	20	27	
52	1	27	29	
53	1	27	29	
54	1	27	29	
55	2	28	28	
56	1	28	29	
57	1	28	29	
58	2	28	28	
59	3	28	28	
60	3	28	28	
61	2	28	28	
62	2	28	28	
63	2	28	28	
64	2	28	29	
65	2	28	29	
66	2	28	29	
67	2	28	29	
68	2	29	28	
69	3	28	28	
70	5	28	28	
71	8	28	28	
72	8	27	28	
73	8	27	28	
74	8	27	28	
75	8	27	28	
76	8	28	27	
77	8	27	28	
78	7	25	29	
79	7	25	29	
80	7	25	29	
81	7	25	29	
82	11	23	28	
83	11	23	28	
84	11	23	28	
85	11	23	28	
86	11	23	28	
87	11	23	28	
88	10	29	28	
89	9	27	27	
90	9	27	27	
91	9	28	29	
92	11	29	28	
93	11	28	29	
94	11	28	29	
95	11	28	29	
96	8	28	29	
97	8	29	28	
98	9	28	28	
99	10	28	28	
100	10	28	28	
101	9	28	28	
102	9	28	28	
103	10	26	28	
104	8	27	28	
105	5	27	28	
106	5	27	28	
107	5	27	28	
108	9	25	28	
109	8	24	28	
110	5	27	28	
111	5	27	28	
112	5	28	27	
113	5	27	28	
114	5	28	27	
115	5	28	27	
116	4	27	28	
117	4	26	29	
118	4	26	29	
119	5	25	28	
120	5	25	28	
121	4	23	28	
122	7	26	28	
123	6	28	27	
124	9	27	27	
125	7	28	28	
126	9	28	28	
127	7	25	26	
128	7	25	26	
129	6	24	28	
130	6	24	28	
131	6	21	29	
132	8	26	23	
133	7	28	28	
134	4	27	27	
135	5	19	27	
136	5	19	27	
137	4	21	28	
138	4	16	27	
139	4	23	28	
140	5	21	28	
141	5	21	28	
142	8	24	28	
143	8	24	28	
144	8	24	28	
145	5	28	25	
146	5	28	25	
147	5	25	28	
148	5	24	27	
149	9	26	28	
150	8	24	28	
151	8	24	28	
152	7	23	27	
153	5	28	27	
154	5	28	27	
155	5	27	28	
156	6	28	28	
157	6	26	28	
158	6	26	28	
159	8	27	22	
160	8	27	22	
161	8	27	22	
162	6	28	26	
